Reference,Prediction
tʰi˩˥|dʑo˩gi˩˥|dʑo˩|tʰi˩˥|hĩ˧ɻæ˥|tʰi˩˥|kə˧mv̩˧˥|tʰi˩˥|ʂɯ˧tse˥|mɤ˧hɯ˧|tʰi˧dzi˩kʰɯ˩tsɯ˩|mv̩˩|,t[UNK]i˩˥ dʑo˩ gɯ˩˥ dʑo˩ t[UNK]i˩˥ hi[UNK]˧ɻæ˥ t[UNK]i˩˥ kə˧mv[UNK]˧˥ t[UNK]i˩˥ ʂɯ˩tzɤ˧˥ mɤ˧hɯ˧ t[UNK]i˧dzi˩k[UNK]ɯ˩tsɯ˩ mv[UNK]˩
njɤ˧|ə˧si˧ɳɯ˧|ʈʂʰɯ˧ne˧ʝi˥|ʐwɤ˩kv̩˩˥|mv̩˩|,njɤ˧ ə˧si˧ɳɯ˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʐwɤ˩kv[UNK]˩˥ mæ˩
ʈʂʰɯ˧ne˧ʝi˥|le˧ʈʂʰo˥|le˧ʈʂʰo˥dʑo˩|tʰi˩˥|əəə…ʁwɤ˧ʁwɤ˧qo˧|njæ˧sɯ˩kv̩˩|bi˧|ɖɯ˧ʑi˩ɳɯ˩|ɖɯ˧v̩˧|bi˧|ʈʰææ̃˧|tʰi˧gəəə…tʰi˧dzi˩|ʈʂʰɯ˧ne˧ʝi˥|ŋv̩˩kv̩˩˥|mæ˩|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧ʈʂ[UNK]o˧˥ le˧ʈʂ[UNK]o˧˥ dʑo˩ t[UNK]i˩˥ əə[UNK]əəə[UNK]ʁwɤ˧qo˧ njæ˧sɯ˩kv[UNK]˩ bi˧ ɖɯ˧ʑi˩ɳɯ˩˩ ɖɯ˧v[UNK]˧ bi˧ ʈ[UNK]ææ[UNK]˧ t[UNK]i˧qoəə[UNK]t[UNK]i˧dzi˩zo˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ŋv[UNK]˩kv[UNK]˩˥ mæ˩
lɑ˧tʰɑ˧di˧ɳɯ˥|tʰi˩˥|ə˧lɑ˧ʁwɤ˧dzi˩|,lɑ˧t[UNK]ɑ˧di˧ɳɯ˥ t[UNK]i˩˥ ə˧lɑ˧ʁwɤ˧dzi˩
zo˩no˥|kʰv̩˩mi˩ki˥|pʰv̩˧ɖɯ˧mɤ˧ʝi˥|pi˧dʑo˩|dʑɤ˩mɤ˧kv̩˧pi˥zo˩|,zo˩no˥ k[UNK]v[UNK]˩mi˩ki˥ p[UNK]v[UNK]˧ɖɯ˧mɤ˧ʝi˥ pi˧dʑo˩ dʑɤ˩mɤ˧kv[UNK]˧˥ pi˥zo˩
ʂɯ˧tsʰi˩hõ˩tsʰi˩kʰv̩˩ɖɯ˩bi˩|õ˧bv̩˥õ˩ɲi˩ze˩,ʂɯ˧ts[UNK]i˩ ho[UNK]˧ts[UNK]i˧k[UNK]v[UNK]˩ ɖɯ˧bi˧ o[UNK]˧bv[UNK]˥o[UNK]˩ɲi˩ze˩
əəə…bæ˩bæ˩bæ˥pi˩|tsʰe˧tʰv̩˧kv̩˧hĩ˥|ɖɯ˧ʁo˩dʑo˩dʑo˩|õ˧tʰv̩˧ʁo˥hĩ˩tʰv̩˩|,əə[UNK]bæ˩bæ˩bæ˩˥ pi˧ ts[UNK]e˧tv[UNK]˧kv[UNK]˩hi[UNK]˥ɖɯ˩ʁo˩dʑo˩dʑo˩ o[UNK]˧t[UNK]v[UNK]˧ʁo˥t[UNK]v[UNK]˩ɻ[UNK]
tʰi˩˥|ʈʰæ˧mi˧ɳɯ˩|di˩li˩ʁo˩bv̩˥dʑo˩|le˧tɕɤ˧˥|,t[UNK]i˩˥ ʈ[UNK]ææ[UNK]˧ di˩li˩ʁo˩bv[UNK]˥dʑo˩ le˧tɕɤ˧˥
ʂe˩mo˧ɲi˥pi˩|ɖɯ˧ʁo˩dʑo˩kv̩˩|zo˩no˥|ɖwæ˧˥|pʰv̩˧ɖɯ˧hĩ˥tʰv̩˩ʁo˩dʑo˩|ʂe˩mo˧ɲi˥|pi˧kv̩˩mæ˩|,ʂe˧mo˧ɲi˥pi˩ ɖɯ˩ʁo˩dʑo˩kv[UNK]˩ zo˩no˥ ɖwæ˧˥ p[UNK]v[UNK]˧ɖɯ˧hi[UNK]˥ tv[UNK]˩ʁo˩dʑo˩ ʂe˧mo˧ɲi˥pi˧kv[UNK]˩mæ˩
tʰi˩˥əəə…|õ˧tʰv̩˧əəə…ə˧pʰv̩˧dʑo˧|ə˧pʰv̩˧ɲi˩ze˩mæ˩|ə˩gi˩|njæ˧sɯ˩kv̩˩|ə˧pʰv̩˧|ə˧ʑi˧˥|ə˧pʰv̩˧ɲi˩ze˩mæ˩|tʰv̩˧sɯ˩kv̩˩|zo˧mv̩˥|mɤ˧dʑo˩ɲi˩ze˩mæ˩|,t[UNK]i˩˥əəə[UNK]po˧t[UNK]v[UNK]˧ə[UNK]ə˧p[UNK]v[UNK]˧dʑo˧ ə˧p[UNK]v[UNK]˩ɲi˩ze˩mæ˩ ə˩gi˩ njæ˧sɯ˩kv[UNK]˩ ə˧p[UNK]v[UNK]˩ ə˧ʑi˧ ə˧p[UNK]v[UNK]˧ɲi˩ze˩kv[UNK]˩ zo˧mv[UNK]˥ mɤ˧dʑo˩ɲi˩ze˩mæ˩
li˧hɯ˧dʑo˥|ɲi˧zo˧ʈʂʰɯ˧|qʰɑ˧ɖɯ˧mi˧hĩ˧|ɖɯ˧mi˩|tʰi˧dʑo˩|pi˧tsɯ˩mv̩˩|,li˧hɯ˩dʑo˩ ɲi˧zo˧ʈʂ[UNK]ɯ˧ q[UNK]ɑ˧ɖɯ˧mi˧h˧ɖɯ˧mi˧ t[UNK]i˧dʑo˩ pi˧tsɯ˩ mv[UNK]˩
dʑɤ˩tsʰo˧dʑo˧|ə˧ʝi˧ʂɯ˥ʝi˩mmm…dʑo˩|kɤ˧kɤ˩|tʰi˧dzi˩dʑo˩||,dʑɤ˩ts[UNK]ɯ˧dʑo˧ ə˧ʝi˧ʂɯ˥ʝi˩[UNK]dʑo˩ kɤ˧kɤ˩ t[UNK]i˧dzi˩dʑo˩
jɤ˧ŋɤ˧dʑo˧|ə˧ʝi˧ʂɯ˥ʝi˩|hæ̃˩bɑ˥lɑ˩|,jɤ˧ŋɤ˧dʑo˧ ə˧ʝi˧ʂɯ˥ʝi˩ hæ[UNK]˩bɑ˥lɑ˩
pʰɤ˧bɤ˧|ɖɯ˧tɑ˧˥|le˧po˧˥|tso˧tso˧le˧po˧˥|no˧ɳɯ˧|pi˧ni˧˥|bo˩ʈʂʰæ˥|le˧po˧˥|,p[UNK]wɤ˧bɤ˧ ɖɯ˧tɑ˧˥ le˧po˧˥ tso˧tso˧ le˧po˧˥ no˧ɳɯ˩ pi˧ɳɯ˥ bo˩ʈʂ[UNK]æ˧˥ le˧po˧˥
dʑɯ˩nɑ˩mi˩ʁo˩˥|tʰi˩˥|mo˧˥|ɲi˩ze˧gɤ˧|le˧ɖʐɤ˧˥|tʰi˧dzɯ˥dʑo˩|ʈʂʰɯ˧|mɤ˧sɯ˧ɲi˥|ə˧tso˧ə˧tso˧ɲi˩|mɤ˧sɯ˧ɲi˥|,dʑɯ˩nɑ˩mi˩ʁo˥ t[UNK]i˧ mo˧ʝi˩ze˩gɤ˧ le˧ɖʐɤ˧˥ t[UNK]i˧dzɯ˥dʑo˩ ʈʂ[UNK]ɯ˧ mɤ˧sɯ˧ɲi˥ ə˧tsɯ˧˥ ə˧tso˧ɲi˩ mɤ˧sɯ˥ɲi˩
ʐv̩˩ɬi˩mi˩˥|mv̩˧dze˧mv̩˩|ŋwɤ˩ɬi˩mi˩˥|qʰv̩˧ɬi˧mi˧|dze˧ɭɯ˧mv̩˩ze˩tsɯ˩|mv̩˩,ʐv[UNK]˩ɬi˩mi˥ mv[UNK]˩dzɤ˧mv[UNK]˩ ŋwɤ˩ɬi˩mi˩˥ q[UNK]v[UNK]˧ɬi˧mi˧ dze˧ɭɯ˧mv[UNK]˩ze˩tsɯ˩ mv[UNK]˩
ho˧di˧bi˧|ho˧di˧|əəə…li˩˥|le˧tɕɯ˧po˥|əəə…mɤ˧lɑ˧|li˩˥|le˧tɕɯ˧˥|ho˧di˧tɕʰi˧bi˧kv̩˧˥|mæ˩|ə˧ʝi˧ʂɯ˥ʝi˩|,ho˧di˧bi˧ ho˧di˧ əə[UNK]li˩˥ le˧tɕɯ˧po˥ mɤ˧lɑ˧ li˩˥ le˧tɕɯ˧˥ ho˧ di˧tɕ[UNK]ɤ˧bi˧kv[UNK]˥ mæ˩ ə˧ʝi˧ʂɯ˥ʝi˩
tsʰe˧ɬi˧mi˧qo˩|gv̩˩ɬi˩mi˩qo˥tʰv̩˩|wɤ˩˥|ɕi˧|le˧kʰv̩˥|wɤ˩˥|hɑ˧|le˧lɑ˧˥|,ts[UNK]e˧ɬi˧mi˧qo˩ gv[UNK]˩ɬi˩mi˩qo˥t[UNK]v[UNK]˧ wɤ˩˥ ɕi˧ le˧k[UNK]v[UNK]˧˥ wɤ˩˥ hɑ˧le˧lɑ˧˥
ʈʂʰɯ˧ne˧ʝi˥|le˧ɲi˩|le˧ɲi˩|wɤ˩˥|ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|wɤ˩˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ɲi˩|le˧ɲi˩|ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|ʈʂʰɯ˧ne˧ʝi˥|le˧gv̩˩|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧ɲi˩ le˧ɲi˩ wɤ˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧tɕɯ˧le˥ wɤ˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧ɲi˩ le˧ɲi˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧tɕɯ˧ɭɯ˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧ɻ[UNK]˥ gv[UNK]˩˥
ʂo˧qo˧tʰʈæ˧bɤ˧dʑɯ˧˥|pi˧|ʂo˧qo˧tʰɑ˩|ɖɯ˩hĩ˩˥|ɲi˧po˩|so˧po˧hwæ˧le˧po˧tsʰɯ˧˥|,ʈʂ[UNK]o˧kwɤ˧tʈæ˧bɤ˧dʑɯ˧ze˧ pi˧ ʂo˧ko˩t[UNK]ɑ˩ ɖɯ˩hi[UNK]˩˥ ɲi˧po˩so˩pɤ˩hɑ˩ le˧po˧ts[UNK]ɯ˧˥
ĩ˧|mi˧tʰv̩˧|le˧w̃æ˧|ʈʂʰɯ˧bv̩˧bv̩˧gv̩˥kv̩˩ɲi˩|,ə˧mi˧t[UNK]v[UNK]˧ le˧ɻæ˧ʈʂ[UNK]ɯ˥ bv[UNK]˧bv[UNK]˧wo˥ki˩ɲi˩
ə˧hwɤ˧|lɑ˧ɳɯ˧|njɤ˧ə˧mɑ˧|le˧ʈʰæ˧ze˥|,ə˧hwɑ˧ lɑ˧ɳɯ˧ɲi˥ ə˧mɑ˧ le˧ʈ[UNK]æ˧ze˩
tʰi˩˥|tʰv̩˧ɲi˥kɯ˩qo˩|le˧ʈʂɤ˧dʑo˥|tʰi˩˥|ə˧mi˧ɻæ˩ɳɯ˩|ɑ˩ʁo˧|ʐɯ˧tɕɤ˧kv̩˥ze˩|,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ɲi˥kɤ˩qo˩ le˧ʈʂ[UNK]ɯ˧ t[UNK]i˩˥ ə˧mi˧ɻæ˩ ɳæ˩ʁo˥ ʐɯ˧tɕɤ˧kv[UNK]˧ze˩
ə˧ʝi˧ʂɯ˥ʝi˩|nɑ˩ʈʂʰɯ˥dʑo˩|zo˧ɖɯ˥dʑo˩|ʈʂʰwɤ˩tʰv̩˩kv̩˥tsɯ˩|mv̩˩|mv̩˩ɖɯ˩˥|dʑo˩|ʐo˩tʰv̩˩kv̩˥tsɯ˩|mv̩˩,ə˧ʝi˧ʂɯ˥ʝi˩ nɑ˩ʈʂ[UNK]ɯ˥dʑo˩ zo˧ɖɯ˥dʑo˩ ʈʂ[UNK]wɤ˩t[UNK]v[UNK]˩kv[UNK]˥tsɯ˩ mv[UNK]˩ mv[UNK]˩ɖɯ˩ɻ˥dʑo˩ ʐo˩t[UNK]v[UNK]˩kv[UNK]˥tsɯ˩ mv[UNK]˩
ʈʂʰɯ˧ne˧ʝi˥|ʈʂʰɯ˧ne˧hĩ˥|tɑ˧tɑ˧|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧kʰwɤ˥lɑ˩tʰv̩˩ɲi˩|ɲi˧ɲi˥|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ tɑ˧tɑ˧ k[UNK]i˩ne˩ʝ˩˥ ɖɯ˧k[UNK]wɤ˥lɑ˩ t[UNK]v[UNK]˩hi[UNK]˩˥ ɲi˧ɲi˥
go˧mi˧hĩ˧ki˧ki˩dʑo˩|tʰi˩˥|tʰv̩˧ɲi˧dʑo˩|mmm…ə˧mv̩˧˥|dʑo˩|tʰi˩˥|,go˧mi˧ hi[UNK]˧ki˧ki˩dʑo˩ t[UNK]i˩˥ t[UNK]v[UNK]˧ɲi˩dʑo˩ əə[UNK]ə˧mv[UNK]˧˥ dʑo˩ t[UNK]i˩˥
mɤ˧bi˧ze˧|mɤ˧bi˧ze˧|ə˧zɯ˩|le˧wo˧bi˧|ʈʂʰɯ˧|hwɤ˧tɕi˥|le˧ɖʐɤ˧˥|pi˧tsɯ˩|mv̩˩|zo˧ki˧|,mɤ˧bi˧ze˧mɤ˧bi˧ze˧ ə˧zɯ˩ le˧wo˧bi˥ t[UNK]v[UNK]˧hwɤ˩tɕi˥ le˧ɖʐɤ˧˥ pi˧tsɯ˧˩ mv[UNK]zo˩ki˩
zo˩no˥|njɤ˧|ə˧si˧|ʈʂʰɯ˧tɕi˩|ʈʂʰɯ˧ne˧ʝi˥|ʐwɤ˩kv̩˩˥|mæ˩|,zo˩no˥ njɤ˧ ə˧si˧ ə˧t[UNK]˧ʈʂ[UNK]ɯ˧ɳɯ˧ ʈʂ[UNK]ɯ˧ne˧ʝ˥ ʐwɤ˩kv[UNK]˩˥ mæ˩
ɖɯ˧ʁwɤ˧|ʐwæ˧tɕɯ˩zo˩|so˩kv̩˩dʑo˩˥|pi˧dʑo˩|njɤ˧ɻ̍˩ɳɯ˩|le˧tɕɯ˧le˥po˩tsʰɯ˩|pi˧|njɤ˧|ɑ˩ʁo˧|hwæ˧tsʰɯ˩ɲi˩ze˩mæ˩|,ɖɯ˧ʁwɤ˧ ʐwæ˧tɕɯ˩zo˩ so˩kv[UNK]˩dʑo˩˥ pi˧dʑo˩ njɤ˧ɳɯ˧ le˧tɕɯ˧le˥po˩ts[UNK]ɯ˩ pi˧ njɤ˧ wɤ˧˥ hwæ˧ts[UNK]ɯ˩ɲi˩ze˩mæ˩
ə˧mɑ˧|nɑ˩dʑi˧hṽ̩˧|dʑo˧ɲi˥mæ˩|,ə˧mɑ˧ nɑ˩di˥hv[UNK]˧ dʑo˧ɲi˥mæ˩
zo˩no˧|ə˧ʝi˧ʂɯ˥ʝi˩|hĩ˧ɻæ˥|gæ˩pʰæ˧ʑi˧ʁæ˧|ʈʂʰɯ˧dʑo˩|ʝi˧kʰv̩˥dʑo˩|hĩ˧dzi˧kv̩˥mæ˩|,zo˩no˥ ə˧ʝi˧ʂɯ˥ʝi˩ hi[UNK]˧ɻæ˥ gæ˩p[UNK]æ˧ʑi˧ɻæ˧ʈʂ[UNK]ɯ˧dʑo˩ ʝi˧k[UNK]v[UNK]˥dʑo˩wɤ˩ hi[UNK]˧ddzi˧kv[UNK]˥mæ˩
tʰi˩˥|qʰv̩˧kv̩˧dʑo˧˥|dʑo˩|ə˧ʝi˧ʂɯ˥ʝi˩|tʰi˩˥qʰv̩˧kv̩˥|ə˧ʑi˧zo˧ʈʂʰɯ˥|zo˧mv̩˥|mɤ˧dʑo˧ɲi˥|ə˧ʑi˧ɳɯ˥|tʰi˩˥|zo˧mv̩˥|le˧dʑo˩kwɤ˩tɕɯ˩lɑ˩|hĩ˧dʑo˩|qʰv̩˧kv̩˥ɳɯ˩|tʰi˩˥|hĩ˧ʈʂʰɯ˧|ɖɯ˧ɖʐv̩˥|ɖɯ˧ɖʐv̩˥ɳɯ˩|ɲi˧tsi˧qʰv̩˧kv̩˧dʑo˧˥|,t[UNK]i˩˥ q[UNK]v[UNK]˧ko[UNK]˧dʑo˧˥ dʑo˩ ə˧ʝi˧ʂɯ˥ʝi˩ t[UNK]i˧q[UNK]v[UNK]˧kv[UNK]˥ ə˧ʑi˧zo˧ ʈʂ[UNK]ɯ˧ɻ[UNK]˩ɳ zo˧mv[UNK]˥ mɤ˧dʑo˩ njɤ˧ ə˧ʑi˧ɳɯ˥ t[UNK]i˩˥ zo˧mv[UNK]˥ le˧dʑo˩kwɤ˩tɕɯ˩lɑ˩ hi[UNK]˧ʈʂ[UNK]ɯ˧ [UNK]v[UNK]˧ko[UNK]˥ɳɯ˩ t[UNK]i˩˥ hi[UNK]˧ʈʂ[UNK]ɯ˧ ɖɯ˧ɖʐv[UNK]˧ ɖɯ˧ɖʐv[UNK]˧ɳɯ˩ ɲi˧tsi˧q[UNK]ɑ˧kv[UNK]˧dʑo˥
ʈʂʰɯ˧ne˧ʝi˥|tʰi˧qɑ˩|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ t[UNK]i˧qɑ˩
tʰi˩˥|si˧kʰɯ˧li˥nɑ˩|ʈʰɯ˩se˩gɤ˥|njɤ˧ə˧mɑ˧mɤ˧dʑo˩|tʰi˧kwɤ˩kʰɯ˩|pi˧|tʰi˩˥|,t[UNK]i˩˥ si˧k[UNK]ɯ˧li˥nɑ˩ ʈ[UNK]ɯ˩se˩gɤ˩  njɤ˧ə˧mɑ˧mɤ˧dʑo˩ t[UNK]i˧kwɤ˩k[UNK]ɯ˩ pi˧ t[UNK]i˩˥
tsʰi˧qʰæ˧˥|dʑo˩|ʂo˧qo˧tʰɑ˩qʰæ˩ʝi˩ze˩mæ˩|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|ʂɑ˩tʰɑ˧dze˧|ə˧ʝi˧tsʰi˧ʝi˧dʑo˩|ʂo˧qo˧tʰɑ˩|ɖɯ˧po˩hwæ˩|le˧po˧tsʰɯ˧˥|,ts[UNK]i˧q[UNK]æ˧˥ dʑo˩ ʂo˧kwɤ˩tɑ˩q[UNK]æ˩dʑo˩ze˩mæ˩ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ ʂɑ˩t[UNK]ɑ˧dze˧ ə˧ʝi˧ts[UNK]i˧ʝi˧dʑo˩ ʂo˧qo˧t[UNK]ɑ˩ ɖɯ˥pɤ˩ hwæ˩ le˧po˧ts[UNK]ɯ˧˥
tʰi˩˥|mv̩˧ʈʰæ˧|lo˧ʝi˧hĩ˧|ʝi˧kʰv̩˥|lo˧ʝi˧kʰɯ˩|,t[UNK]i˩˥ mv[UNK]˧ʈ[UNK]æ˧lo˧ʝi˧ ʝi˩ k[UNK]v[UNK]˧lo˧ʝi˩k[UNK]ɯ˩
zo˩no˥|dʑɯ˩ʈʰɯ˩ʈʰɤ˩˥|ʈʰɤʈʰɤʈʰɤpi˧|ɖɯ˧ʈʰɤ˥tʰi˩ʈʰɤ˩dʑo˩ɲi˩|,zo˩no˥ dʑɯ˩ʈ[UNK]ɯ˥ʈ[UNK]ɯ˩ ʈ[UNK]æ˧ʈ[UNK]ɤ˧pi˧ ɖɯ˧ʈʂ[UNK]ɤ˧˥ t[UNK]i˧ʈ[UNK]ɤ˧dʑo˩ɲi˩
tʰi˩˥|no˧˥|kʰv̩˩mi˩ɲi˥tsɯ˩|mv̩˩|tʰi˩˥|no˧˥|hĩ˧ɲi˥tsɯ˩|mv̩˩,t[UNK]i˩˥ no˧ k[UNK]v[UNK]˩mi˩ɲi˥tsɯ˩ mv[UNK]˩ t[UNK]i˩˥ no˧ hi[UNK]˩ɲi˥tsɯ˩ mv[UNK]˩
tʰi˩˥|ʁwɤ˧qo˧hĩ˧ɻæ˧ɳɯ˥|wɤ˩˥|pʰɤ˧bɤ˧po˧jo˥kv̩˩mæ˩|,t[UNK]i˩˥ ʁwɤ˧qo˧hi[UNK]˧ɻæ˧ɳɯ˥ wɤ˩˥ p[UNK]ɤ˧bɤ˧po˧bi˥kv[UNK]˩mæ˩
qo˩ho˧qo˥|ŋv̩˧|ɖɯ˧mæ˩|mmm…pɤ˩jɤ˧tʰi˥kʰɯ˩|,qo˩ho˧qo˧ ŋv[UNK]˧ ɖɯ˩mæ˩ mm[UNK]pɤ˩jɤ˧t[UNK]i˥k[UNK]ɯ˩
hĩ˧ɳɯ˩|hĩ˧so˥|le˧po˧jo˥|dʑo˩|ʁwɤ˧ɳɯ˧|so˩kv̩˩˥|no˧sɯ˩kv̩˩|ɖwæ˩mɤ˧zo˧|pi˧tsɯ˩|mv̩˩|,hi[UNK]˧ɳɯ˩ hi[UNK]˧so˥ le˧po˧jo˥dʑo˩ ʁwɤ˧ɳɯ˩ so˩kv[UNK]˩˥ no˧sɯ˩kv[UNK]˩ ɖwæ˩mɤ˧zo˧ pi˧tsɯ˩ mv[UNK]˩
nɑ˩ʈʂʰɯ˥dʑo˩|no˧|ʐɯ˧ʈʰɯ˩bi˩|ʈʂʰɯ˧lɑ˥ɲi˩|zo˩no˥|ʐɯ˧ʈʰɯ˩hɑ˩dzɯ˩pi˩bi˩bi˩|zo˩no˥|hĩ˧ɳɯ˩|qo˩ho˧˥|le˧pɤ˥pɤ˩|pʰɤ˧bɤ˧|le˧pɤ˥pɤ˩|po˧tsʰɯ˧pi˥|,nɑ˩ʈʂ[UNK]ɯ˥dʑo˩ no˧˥ ʐɯ˧ʈ[UNK]ɯ˩bi˩ ʈʂ[UNK]ɯ˧lɑ˩ɲi˩ zo˩no˥ ʐɯ˧ʈ[UNK]ɯ˩ hɑ˧dzɯ˧bi˧bi˧bi˩ zo˩no˥ hi[UNK]˧ɳɯ˩ qo˩ho˥ le˧pɤ˥pɤ˩ p[UNK]ɤ˧bɤ˧ le˧pɤ˧po˥ pi˩ts[UNK]ɯ˩ pi˩
əəə…njɤ˧|ɖɯ˧ʈʰæ˧pi˥|lɑ˧gi˧˥|le˧bæ˧˥|kʰi˩|njɤ˧|mɤ˧ʈʰæ˧˥|,əə[UNK]njɤ˧ ɖɯ˧ʈ[UNK]æ˧˧pi˥o˩ lɑ˧gi˧ le˧bæ˧˥ k[UNK]i˩ njɤ˧ mɤ˧ʈ[UNK]ɯ˧˥
tʰi˩˥|zɯ˧zɯ˧ʈʂʰɯ˧|tsʰe˩so˩kʰv̩˩lɑ˥ɖɯ˩dʑo˩|tʰi˩˥|kʰv̩˩mi˩zɯ˩zɯ˥tʰv̩˩v̩˩ki˩|ʂe˧hɯ˧ɲi˥tsɯ˩|mv̩˩|hĩ˧zɯ˧zɯ˥|tʰv̩˧v̩˧ɳɯ˩|,t[UNK]i˩˥zɯ˧zɯ˧ ʈʂ[UNK]ɯ˧ ts[UNK]e˩so˩k[UNK]v[UNK]˩lɑ˥ɖɯ˩dʑo˩ t[UNK]i˩˥ k[UNK]v[UNK]˧mi˥ zɯ˩zɯ˥ t[UNK]v[UNK]˧v[UNK]˧ki˩ ʂe˧hɯ˧ɲi˥tsɯ˩ mv[UNK]˩ hi[UNK]˧zɯ˧zɯ˥ t[UNK]v[UNK]˧v[UNK]˧ɳɯ˩
hæ˧di˩qo˩|wɤ˩˥|ə˧tso˧mɤ˧ɲi˩|ə˧ʝi˧ʂɯ˥ʝi˩|njæ˧sɯ˩kv̩˩dʑo˩|hæ˧di˩lɑ˩pi˩kv̩˩mæ˩|ə˩gi˩|,ze hæ˧di˩qo˩ wɤ˩˥ ə˧tso˧mɤ˧ɲi˩ ə˧ʝi˧ʂɯ˥ʝi˩ njæ˧sɯ˩kv[UNK]˩dʑo˩ hæ˧di˩lɑ˩pi˩kv[UNK]˩mæ˩ ə˩gi˩
əəə…tʰv̩˧ne˧ʝi˥|ɖɯ˧bæ˧ɳɯ˧|ɖɯ˧kʰwɤ˥|tʰi˧kʰɯ˧˥|,əə[UNK]tli[UNK]ɖɯ˧bæ˧ɳɯ˧ ɖɯ˧k[UNK]wɤ˥t[UNK]i˧k[UNK]ɯ˩
ə˧mi˧|no˧bv̩˩|ʈʂʰɯ˧ɭɯ˧se˥|ɖwæ˧˥|dʑɤ˩˥|,ə˧mi˧ no˧bv[UNK]˩ʈʂ[UNK]ɯ˩˩se˩ ɖwæ˧˥ dʑɤ˩
tʰi˩˥|ɖɯ˧ʑi˩ɻ̍˩dʑo˩|zo˧bæ˩|ɖɯ˧v̩˧dʑo˩tsɯ˩|mv̩˩|,t[UNK]i˩˥ ə[UNK]ɖɯ˧ʑi˩ɻ[UNK]˩dʑo˩ zo˧bæ˩ɖɯ˧v[UNK]˧ dʑo˩˥˩tsɯ˩ mv[UNK]˩
tʰi˩˥|lɑ˧tʰɑ˧di˧ɳɯ˥|le˧tsʰɯ˩ɲi˩kv̩˩tsɯ˩|mv̩˩,t[UNK]i˩˥ lɑ˧t[UNK]ɑ˧di˧ɳɯ˥ le˧ts[UNK]ɯ˩ɲi˩kv[UNK]˩tsɯ˩ mv[UNK]˩
hɑ˧|ɲi˧qwæ˧ɻ̍˥|hɑ˧|ɖɯ˧qwæ˧ɻ̍˥|mɤ˧ɖo˧|,hɑ˧ ɲi˧qwæ˧ɻ[UNK]˥ hɑ˧ ɖɯ˧qwæ˧˥ mɤ˧ɖo˧
ɖɯ˧njɤ˧|ŋv̩˩˥|pi˧ɲi˥tsɯ˩|mv̩˩|,ɖɯ˧njɤ˧ ŋv[UNK]˩˥ pi˧ɲi˥tsɯ˩ mv[UNK]˩
ɕi˧ʈʂʰwæ˧pɤ˩jɤ˩|ʈʂʰɯ˧ne˧ʝi˥|pɤ˩jɤ˧˥|le˧ti˩hĩ˩|tʰv̩˧ʁo˥|so˧ɭɯ˧|əəə…ʐv̩˩ɭɯ˩˥|,ɕi˧ʈʂ[UNK]wæ˧pɤ˩jɤ˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥ pɤ˩jɤ˧˥ le˧ti˩hi[UNK]˩ ʈʂ[UNK]ɯ˧ʁo˧ so˧ɭɯ˧ əə[UNK]ʐv[UNK]˩ɭɯ˩˥
tʰi˩˥|hĩ˧ɻæ˧ɳɯ˥|ə˧mi˧|ʈʂʰɯ˧|ʈʂʰɯ˧ne˧gv̩˧ɲi˥tsɯ˩dʑo˩|ʈʂʰɯ˧|ʈʂʰɯ˧ne˧ʝi˥|ə˧tse˧ʝi˧zo˥|ʈʂʰɯ˧ne˧ʝi˥|dʑo˧ɲi˥hɯ˩|pi˧|,t[UNK]i˩˥ hi[UNK]˧ɻæ˧ɳɯ˥ ə˧mi˧ ʈʂ[UNK]ɯ˧ ʈʂ[UNK]ɯ˧ne˧gv[UNK]˧ɲi˥tsɯ˩dʑo˩ ʈʂ[UNK]ɯ˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ə˧tse˧ʝi˧zo˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ dʑo˧ɲi˥hɯ˩ pi˧
li˩˥|ɖɯ˧ɭɯ˧|tʰi˧kʰɯ˩|jɤ˧ɖɯ˧po˩tʰi˩kʰɯ˩|,li˩˥ ɖɯ˧ɭɯ˧ t[UNK]i˧k[UNK]ɯ˩ jɤ˧ ɖɯ˧po˩t[UNK]i˩k[UNK]ɯ˩
